Time,GT22_GEN_WATT,GT22_GEN_VAR,GT22_GEN_CURRENT,GT22_GEN_VOLTAGE,GT22_PWR_FACTOR,GT22_FUEL_GAS_PRESS,GT22_CSO,GT22_SPEED,GT22_IGV_CSO,GT22_IGV_FB,GT22_EXH_DAMPER_CMD,GT22_EXH_DAMPER_FB,GT22_COMP_IN_AIR_TEMP,GT22_RCA_TEMP_R,GT22_RCA_TEMP_L,GT22_DISC_TEMP2_R,GT22_DISC_TEMP2_L,GT22_DISC_TEMP3_R,GT22_DISC_TEMP3_L,GT22_DISC_TEMP4_R,GT22_DISC_TEMP4_L,GT22_BPT_AVG,GT22_EXH_GAS_TEMP_AVG,GT22_FUEL_GAS_FLOW,GT22_FUEL_GAS_SPLY_TEMP,GT22_STEAM_INJ_FLOW,GT22_WTR_INJ_FLOW,GT22_COMP_OUT_AIR_TEMP,GT22_COMB_PRESS,GT22_H2_W_GAS_TEMP33,GT22_H2_W_GAS_TEMP34,GT22_INJ_STEAM_TEMP,GT22_COMP_INDEX_PRESS,GT22_RAW_NOX,GT22_OXYGEN,GT22_INLET_AIR_FLOW,GT22_FG_DIFF_PRESS,GT22_INLET_AIR_DIFF_KKU,GT22_NOX_7O2,HG22_IN_GAS_PRESS,HG22_OUT_GAS_PRESS,HG22_IN_GAS_TEMP,HG22_OUT_GAS_TEMP,GT22_CEMS_STATUS,ST20_GEN_OUTPUT,AMB_TEMP,RELATIVE_HUMIDITY
01-Sep-22 00:00:00,79.220,13.120,3.298,13.834,0.986,23.240,51.050,3001.875,4.138,4.658,100.000,103.813,23.827,188.717,188.609,331.745,358.928,365.983,383.248,334.009,367.273,560.877,544.835,28.108,27.491,3.590,0.000,366.743,9.488,40.566,40.854,447.400,1055.658,99.843,15.115,334.970,2424.865,19.280,239.902,197.707,9.682,539.809,106.967,Normal,95.500,25.219,93.559
01-Sep-22 00:05:00,78.880,16.440,3.295,13.905,0.976,23.215,51.076,2999.250,4.024,4.638,100.000,103.813,23.831,188.496,188.219,331.496,358.482,365.809,383.265,333.904,367.236,561.968,545.138,28.068,27.337,3.573,0.000,366.476,9.469,40.613,40.863,447.371,1055.094,100.431,15.095,334.784,2419.665,19.126,240.465,196.004,9.683,540.484,106.627,Normal,95.125,25.215,93.437
01-Sep-22 00:10:00,79.220,22.560,3.351,13.975,0.954,23.185,51.035,2998.875,5.299,5.321,100.000,103.813,23.912,188.627,188.565,331.949,358.171,366.104,383.429,333.938,367.384,561.790,545.356,28.141,27.398,3.703,0.000,367.273,9.487,40.631,40.882,447.800,1055.718,100.215,15.099,334.781,2434.816,19.314,240.122,197.263,9.697,540.520,106.486,Normal,95.375,25.223,93.086
01-Sep-22 00:15:00,79.160,20.880,3.331,13.977,0.963,23.205,51.080,2995.500,4.527,4.713,100.000,103.813,23.653,188.507,188.430,331.256,358.324,365.484,382.971,333.770,366.964,561.187,544.829,28.095,27.778,3.551,0.000,366.310,9.473,40.628,40.879,447.700,1052.769,99.206,15.103,334.578,2428.580,19.204,237.868,195.451,9.804,539.771,106.776,Normal,95.375,25.214,93.196
01-Sep-22 00:20:00,79.340,17.320,3.312,13.903,0.975,23.200,51.116,2997.375,4.747,4.436,100.000,103.813,23.400,188.419,188.296,331.222,358.624,365.533,383.114,333.948,367.212,562.072,544.921,28.165,28.199,3.612,0.000,366.031,9.470,40.702,41.025,447.804,1052.499,100.059,15.095,334.659,2443.455,19.018,239.577,196.463,9.653,540.234,106.867,Normal,95.500,25.336,92.621
01-Sep-22 00:25:00,78.980,13.800,3.284,13.882,0.982,23.204,51.169,2998.125,4.213,3.838,100.000,103.813,23.554,188.318,188.114,331.387,358.318,365.667,383.277,333.864,367.215,562.602,545.115,28.114,28.456,3.632,0.000,366.467,9.457,40.710,41.002,447.800,1051.802,100.309,15.101,334.354,2436.571,18.971,240.418,196.284,9.578,540.520,106.447,Normal,95.125,25.344,92.850
01-Sep-22 00:30:00,79.480,13.000,3.302,13.835,0.986,23.215,51.115,3000.750,4.895,4.540,100.000,103.813,23.864,188.494,188.400,331.682,358.212,365.752,383.265,333.822,367.170,561.511,545.134,28.148,28.548,3.616,0.000,366.893,9.481,40.700,40.999,448.200,1054.116,99.387,15.105,334.543,2442.354,19.016,238.403,195.520,9.946,540.129,106.665,Normal,95.000,25.159,93.440
01-Sep-22 00:35:00,79.080,12.240,3.287,13.811,0.987,23.180,51.100,2997.000,5.254,5.188,100.000,103.813,23.960,188.731,188.656,331.614,358.033,365.921,383.237,333.777,367.068,561.340,545.121,28.113,28.560,3.789,0.000,366.913,9.477,40.702,40.964,448.080,1052.830,99.964,15.108,334.214,2439.593,19.112,239.892,195.364,9.452,539.966,106.863,Normal,95.375,25.100,93.674
01-Sep-22 00:40:00,79.340,11.560,3.290,13.812,0.988,23.135,51.107,2998.125,4.658,4.975,100.000,103.813,23.938,188.643,188.563,331.607,358.127,365.592,383.067,333.639,366.970,561.422,544.977,28.068,28.484,3.583,0.000,366.789,9.469,40.706,40.950,447.900,1052.496,100.006,15.106,334.243,2436.446,18.952,239.902,196.693,9.690,540.042,106.652,Normal,95.125,25.098,93.787
01-Sep-22 00:45:00,79.120,8.480,3.272,13.787,0.989,23.210,51.131,2998.500,5.042,5.168,100.000,103.813,23.990,188.531,188.600,331.704,358.301,365.974,383.588,333.668,367.009,562.142,545.189,28.126,28.506,3.620,0.000,367.182,9.473,40.660,40.947,447.202,1052.196,100.584,15.093,334.242,2438.968,19.000,240.755,196.650,9.766,540.365,106.440,Normal,95.625,25.105,93.902
01-Sep-22 00:50:00,79.400,8.760,3.286,13.774,0.989,23.215,51.126,3000.750,4.754,5.050,100.000,103.813,23.877,188.721,188.572,331.459,358.497,365.628,383.295,333.620,366.893,561.149,544.906,28.102,28.580,3.679,0.000,366.768,9.484,40.647,40.913,447.400,1052.547,99.282,15.105,334.295,2434.983,18.934,238.155,197.157,9.709,539.713,106.768,Normal,95.375,25.046,94.017
01-Sep-22 00:55:00,79.080,6.720,3.277,13.748,0.991,22.995,51.192,3001.875,4.756,4.388,100.000,103.813,23.499,188.634,188.562,331.470,358.917,366.037,383.651,334.361,367.427,561.809,544.795,28.156,28.649,3.555,0.000,366.318,9.470,40.610,40.879,447.499,1050.639,100.186,15.091,334.193,2466.776,18.973,239.742,196.837,9.680,540.264,106.878,Normal,95.125,25.100,94.254
01-Sep-22 01:00:00,79.500,9.960,3.294,13.787,0.987,22.910,51.169,2997.750,4.900,4.827,100.000,103.813,23.672,188.290,188.231,331.452,358.035,365.914,383.552,333.999,367.575,562.883,545.319,28.179,28.662,3.416,0.000,366.658,9.467,40.655,40.922,447.625,1049.318,100.752,15.089,333.953,2479.815,18.938,240.988,195.492,9.687,540.769,106.471,Normal,95.125,25.162,93.906
01-Sep-22 01:05:00,79.080,7.800,3.272,13.748,0.992,23.028,51.152,3000.375,5.189,5.073,100.000,103.813,24.015,188.689,188.472,331.771,358.195,366.113,383.372,333.759,367.186,562.149,545.406,28.104,28.698,3.578,0.000,367.491,9.467,40.697,40.975,448.135,1050.584,99.570,15.097,333.899,2455.030,19.304,238.486,194.074,9.300,540.520,106.555,Normal,95.375,25.342,93.902
01-Sep-22 01:10:00,79.240,5.560,3.275,13.734,0.995,23.095,51.088,2998.500,5.786,5.955,100.000,103.813,24.397,188.874,188.734,331.592,358.114,365.037,383.081,332.931,366.174,561.157,545.220,28.090,28.650,3.604,0.000,367.529,9.483,40.659,40.946,448.096,1050.342,98.881,15.106,333.539,2444.890,19.128,237.221,194.376,9.440,539.881,106.967,Normal,95.250,25.514,93.086
